Name,Record Type,Dataset Size,Dataset Shape,Dataset dtype
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,dataset,2048,"(2048,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData,dataset,2211840,"(1080, 2048)",int16
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityHistogram,dataset,1000,"(1000,)",int32
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityRMS,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensitySigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/pixelSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjection,dataset,1080,"(1080,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/width,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/delayTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/exposureTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/gain,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/triggerMode,dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.01TCV4.CAM8,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamIntensity,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogX,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogY,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/height,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjection,dataset,2592,"(2592,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageRawData,dataset,5308416,"(2048, 2592)",int16
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageTimeStamp,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityHistogram,dataset,1000,"(1000,)",int32
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityRMS,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensitySigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/pixelSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjection,dataset,2048,"(2048,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/width,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/delayTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/exposureTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/gain,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/triggerMode,dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamIntensity,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogX,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogY,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/height,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjection,dataset,1280,"(1280,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageRawData,dataset,1228800,"(960, 1280)",int16
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageTimeStamp,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityHistogram,dataset,1000,"(1000,)",int32
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityRMS,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensitySigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/pixelSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjection,dataset,960,"(960,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/width,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/delayTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/exposureTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/gain,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/triggerMode,dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.02TSG40.CAM7,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamIntensity,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogX,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogY,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/height,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjection,dataset,1920,"(1920,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageRawData,dataset,2304000,"(1200, 1920)",int16
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageTimeStamp,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityHistogram,dataset,1000,"(1000,)",int32
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityRMS,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensitySigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/pixelSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjection,dataset,1200,"(1200,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/width,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/delayTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/exposureTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/gain,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/triggerMode,dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.03TT41.CAM3,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamIntensity,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogX,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogY,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/height,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjection,dataset,1920,"(1920,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageRawData,dataset,2304000,"(1200, 1920)",int16
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageTimeStamp,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityHistogram,dataset,1000,"(1000,)",int32
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityRMS,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensitySigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/pixelSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjection,dataset,1200,"(1200,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/width,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/delayTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/exposureTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/gain,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/triggerMode,dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamIntensity,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogX,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogY,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/height,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjection,dataset,1600,"(1600,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageRawData,dataset,1920000,"(1200, 1600)",int16
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageTimeStamp,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityHistogram,dataset,1000,"(1000,)",int32
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityRMS,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensitySigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/pixelSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjection,dataset,1200,"(1200,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/width,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/delayTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/exposureTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/gain,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/triggerMode,dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.04TT41.CAM4,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamIntensity,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogX,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogY,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/height,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjection,dataset,1920,"(1920,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageRawData,dataset,2304000,"(1200, 1920)",int16
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageTimeStamp,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityHistogram,dataset,1000,"(1000,)",int32
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityRMS,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensitySigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/pixelSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjection,dataset,1200,"(1200,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/width,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/delayTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/exposureTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/gain,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/triggerMode,dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.05TT41.CAM5,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamIntensity,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogX,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogY,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/height,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjection,dataset,1920,"(1920,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageRawData,dataset,2304000,"(1200, 1920)",int16
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageTimeStamp,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityHistogram,dataset,1000,"(1000,)",int32
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityRMS,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensitySigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/pixelSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjection,dataset,1200,"(1200,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/width,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/delayTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/exposureTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/gain,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/triggerMode,dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,group,n/a,n/a,n/a
